date,z_sf_L1,z_sf_L2,z_sf_L3,z_fs_L1,z_fs_L2,z_fs_L3,z_sf,z_fs,p_high_fs,p_high_sf
2022-08-31,38.493170834580305,20.703752216927374,12.782256605009922,39.14772920142784,20.788287446334177,12.790771952422107,23.99305988550587,24.24226286672804,0.99992838993127,0.9998930582278971
2022-09-08,33.559103036859675,20.112053004829832,13.070666760563403,33.95948874270331,20.169447875177582,13.084970015868796,22.247274267417637,22.40463554458323,0.9993901699224065,0.9992236556411178
2022-09-15,34.42799616356822,21.2768948918812,14.159102124952213,34.949436163525725,21.38035458337364,14.177008142841716,23.28799772680054,23.50226629658036,0.9998218410611268,0.9997527353902791
2022-09-22,35.659489193737436,21.655319349514762,14.88817019271564,36.175232681907865,21.76770579185604,14.92052784907649,24.067659578655945,24.287822107613465,0.9999592530902394,0.9999469525092014
2022-09-29,34.029828544605266,23.952153719402762,17.05041190131221,34.49844142979496,24.070604884704693,17.07138764219479,25.010798055106743,25.21347798556481,0.9999913380964273,0.9999901408624996
2022-10-06,35.833562868475134,25.24932388486149,17.977736949557197,36.37774781195002,25.36906519138157,18.011419180281422,26.35354123429794,26.58607739453767,0.9999990664211957,0.9999990190731902
2022-10-13,38.61623775903697,26.227379275916434,18.571468080528856,39.116860772325836,26.28577145026086,18.59915621448116,27.805028371827422,28.000596145689286,0.9999999142221707,0.9999999281032711
2022-10-20,42.160579276541156,26.759741129151497,19.509357426046634,42.57343905595403,26.753468717190692,19.553883641366593,29.476559277246427,29.626930471503773,0.9999999950962944,0.999999997025877
2022-10-27,39.25147633403153,23.71125936195939,17.520805773116983,39.54578780836452,23.6930317471697,17.54348994163491,26.8278471563693,26.92743649905638,0.9999785837877251,0.9999839204988843
2022-11-03,34.48197549642436,20.419847157693543,15.717212049272304,34.5329658047633,20.38579838225718,15.749946953276401,23.539678234463405,23.55623704676563,0.9622598864779419,0.9645384992328763
2022-11-10,31.446117972361247,20.0421850641899,15.445180728134076,31.498135639806097,20.021427280355425,15.480434964731396,22.311161254895072,22.33333262829764,0.6082167097017214,0.6087900186364605
2022-11-17,27.358726632535173,17.367461226621064,13.554600086579061,27.396417964075347,17.34639195592,13.592309246813763,19.4269293152451,19.445039722269705,0.0231464219753667,0.02237413818899935
2022-11-25,26.283192487766147,16.96185009801927,13.383885531031655,26.260587329687926,16.9357561574196,13.426004491039732,18.876309372272356,18.874115992715755,0.00046848538767957967,0.0004527497930986586
2022-12-02,26.12057037406938,16.53345394052813,13.010494572354903,25.954431772248594,16.47767273816399,13.008289505416858,18.554839628984137,18.480131338609812,1.752528726166869e-05,1.9005023769414854e-05
2022-12-09,24.08042044775648,15.626969655894241,12.602968708615691,23.73913335400052,15.487305571027376,12.535679204681152,17.436786270755473,17.254039376569683,3.0470850934749467e-06,3.906105466727871e-06
2022-12-16,24.62009629103927,15.647180393766874,12.261305965439163,24.17424595230953,15.501993503087897,12.199141566265595,17.50952755008177,17.291793673887675,3.1523576932235653e-06,4.196784106325358e-06
